model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,smc,0,000000 1 10 100 1000 10000 100000,7,-1654.4355369618613,0,2
model1,0,smc,1,000 1 10 100,4,-1656.2375004179971,0,2
model1,0,smc,2,00 1 10,3,-1657.1731616573613,1,2
model1,0,smc,3,0 1,2,-1673.8054120192533,0,2
model1,1,smc,0,00000 1 10 100 1000 10000,6,-1657.8773572783787,0,2
model1,1,smc,1,000 1 10 100,4,-1657.944948612334,0,2
model1,1,smc,2,00 1 10,3,-1658.2428456318405,1,2
model1,1,smc,3,0 1,2,-1682.0702643406835,0,2
model1,2,smc,0,000000 1 10 100 1000 10000 100000,7,-1679.283908019494,0,2
model1,2,smc,1,00000 1 10 100 1000 10000,6,-1679.4252386873825,0,2
model1,2,smc,2,0000 1 10 100 1000,5,-1679.8544068876813,1,2
model1,2,smc,3,000 1 10 100,4,-1681.2678316913905,0,2
model1,2,smc,4,00 1 10,3,-1682.839004102823,0,2
model1,2,smc,5,0 1,2,-1691.258921151973,0,2
model1,3,smc,0,000000 1 10 100 1000 10000 100000,7,-1694.1158721187849,0,2
model1,3,smc,1,000 1 10 100,4,-1695.5857694979954,0,2
model1,3,smc,2,00 1 10,3,-1697.2099836648226,1,2
model1,3,smc,3,0 1,2,-1716.0996003716705,0,2
model1,4,smc,0,00000 1 10 100 1000 10000,6,-1671.5852659098075,0,2
model1,4,smc,1,000 1 10 100,4,-1671.7000333490505,0,2
model1,4,smc,2,00 1 10,3,-1671.700067645404,1,2
model1,4,smc,3,0 1,2,-1680.7588944466636,0,2
model1,5,smc,0,00000 1 10 100 1000 10000,6,-1701.4074635978961,0,1
model1,5,smc,1,00 1 10,3,-1704.92396893384,1,1
model1,5,smc,2,0 1,2,-1721.8230861757274,0,1
model1,6,smc,0,000000 1 10 100 1000 10000 100000,7,-1666.8959557840155,0,2
model1,6,smc,1,000 1 10 100,4,-1668.0694670920625,0,2
model1,6,smc,2,00 1 10,3,-1668.8518328229504,1,2
model1,6,smc,3,0 1,2,-1676.4406168336757,0,2
model1,7,smc,0,00000 1 10 100 1000 10000,6,-1688.049088868488,0,2
model1,7,smc,1,000 1 10 100,4,-1688.35921596394,0,2
model1,7,smc,2,00 1 10,3,-1688.519804402897,1,2
model1,7,smc,3,0 1,2,-1702.6274218349045,0,2
model1,8,smc,0,000000 1 10 100 1000 10000 100000,7,-1746.6303036343406,0,2
model1,8,smc,1,000 1 10 100,4,-1747.5828859301891,0,2
model1,8,smc,2,00 1 10,3,-1748.3938157765028,1,2
model1,8,smc,3,0 1,2,-1759.6991760436863,0,2
model1,9,smc,0,000000 1 10 100 1000 10000 100000,7,-1629.0466683665893,0,2
model1,9,smc,1,00000 1 10 100 1000 10000,6,-1629.9606791970955,0,2
model1,9,smc,2,0000 1 10 100 1000,5,-1631.6552870171972,1,2
model1,9,smc,3,00 1 10,3,-1637.139574565463,0,2
model1,9,smc,4,0 1,2,-1660.060927484777,0,2
model1,10,smc,0,00000 1 10 100 1000 10000,6,-1677.7138950594735,0,1
model1,10,smc,1,00 1 10,3,-1679.4303221684509,1,1
model1,10,smc,2,0 1,2,-1683.066153098654,0,1
model1,11,smc,0,00000 1 10 100 1000 10000,6,-1639.015050712206,0,2
model1,11,smc,1,0000 1 10 100 1000,5,-1639.6328861588363,0,2
model1,11,smc,2,00 1 10,3,-1641.344294692989,1,2
model1,11,smc,3,0 1,2,-1661.0862586522076,0,2
model1,12,smc,0,00000 1 10 100 1000 10000,6,-1716.5815036382808,0,2
model1,12,smc,1,0000 1 10 100 1000,5,-1716.5992139154932,0,2
model1,12,smc,2,00 1 10,3,-1717.824361201134,1,2
model1,12,smc,3,0 1,2,-1731.5860102882793,0,2
model1,13,smc,0,00000 1 10 100 1000 10000,6,-1695.755682677227,0,2
model1,13,smc,1,0000 1 10 100 1000,5,-1696.3657728237815,0,2
model1,13,smc,2,000 1 10 100,4,-1697.2283574447852,1,2
