model_name,sample_idx,method,tree_idx,tree,num_contexts,opt
model1,0,smc,0,000000 1 10 100 1000 10000 100000,7,0
model1,0,smc,1,0000 1 10 100 1000,5,0
model1,0,smc,2,000 1 10 100,4,0
model1,0,smc,3,00 1 10,3,0
model1,0,smc,4,0 1,2,0
model1,1,smc,0,000000 1 10 100 1000 10000 100000,7,0
model1,1,smc,1,00000 1 10 100 1000 10000,6,0
model1,1,smc,2,000 1 10 100,4,0
model1,1,smc,3,00 1 10,3,0
model1,1,smc,4,0 1,2,0
model1,2,smc,0,000000 1 10 100 1000 10000 100000,7,0
model1,2,smc,1,00000 1 10 100 1000 10000,6,0
model1,2,smc,2,000 1 10 100,4,0
model1,2,smc,3,00 1 10,3,0
model1,2,smc,4,0 1,2,0
model1,3,smc,0,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,0
model1,3,smc,1,000000 000100 0010 001000 1 10000 100000 100100 1010 10100 101000,11,0
model1,3,smc,2,00000 000100 0010 001000 1 10000 100100 1010 10100 101000,10,0
model1,3,smc,3,00000 000100 0010 01000 1 10000 100100 1010 10100,9,0
model1,3,smc,4,0000 000100 0010 01000 1 100100 1010 10100,8,0
model1,3,smc,5,0000 0010 0100 01000 1 1010,6,0
model1,3,smc,6,0000 010 0100 01000 1,5,0
model1,3,smc,7,000 010 0100 1,4,0
model1,3,smc,8,00 010 1,3,0
model1,3,smc,9,0 1,2,0
model1,4,smc,0,000000 1 10 100 1000 10000 100000,7,0
model1,4,smc,1,00000 1 10 100 1000 10000,6,0
model1,4,smc,2,0000 1 10 100 1000,5,0
model1,4,smc,3,000 1 10 100,4,0
model1,4,smc,4,00 1 10,3,0
model1,4,smc,5,0 1,2,0
model1,5,smc,0,000000 1 10 100 1000 10000 100000,7,0
model1,5,smc,1,00000 1 10 100 1000 10000,6,0
model1,5,smc,2,0000 1 10 100 1000,5,0
model1,5,smc,3,000 1 10 100,4,0
model1,5,smc,4,00 1 10,3,0
model1,5,smc,5,0 1,2,0
model1,6,smc,0,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,0
model1,6,smc,1,000000 000100 0010 1 1000 10000 100000 100100 1010 10100,10,0
model1,6,smc,2,000000 0010 0100 1 1000 10000 100000 1010,8,0
model1,6,smc,3,000000 010 0100 1 1000 10000 100000,7,0
model1,6,smc,4,000 010 0100 1,4,0
model1,6,smc,5,00 010 1,3,0
model1,6,smc,6,0 1,2,0
model1,7,smc,0,000000 1 10 100 1000 10000 100000,7,0
model1,7,smc,1,0000 1 10 100 1000,5,0
model1,7,smc,2,000 1 10 100,4,0
model1,7,smc,3,00 1 10,3,0
model1,7,smc,4,0 1,2,0
model1,8,smc,0,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,0
model1,8,smc,1,0000 000010 000100 1 1000 100010 10010 100100 1010 10100,10,0
model1,8,smc,2,0000 000100 010 1 1000 100100 10100,7,0
model1,8,smc,3,000 000100 010 1 100100 10100,6,0
model1,8,smc,4,000 010 0100 1,4,0
model1,8,smc,5,00 010 1,3,0
model1,8,smc,6,0 1,2,0
model1,9,smc,0,000000 1 10 100 1000 10000 100000,7,0
model1,9,smc,1,00000 1 10 100 1000 10000,6,0
model1,9,smc,2,0000 1 10 100 1000,5,0
model1,9,smc,3,000 1 10 100,4,0
model1,9,smc,4,00 1 10,3,0
model1,9,smc,5,0 1,2,0
model1,10,smc,0,000000 1 10 100 1000 10000 100000,7,0
model1,10,smc,1,000 1 10 100,4,0
model1,10,smc,2,00 1 10,3,0
model1,10,smc,3,0 1,2,0
model1,11,smc,0,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,0
model1,11,smc,1,0000 000010 000100 1 1000 100010 10010 100100 1010 10100,10,0
model1,11,smc,2,0000 00010 000100 1 1000 10010 100100 1010 10100,9,0
model1,11,smc,3,000 00010 000100 1 10010 100100 1010 10100,8,0
model1,11,smc,4,000 00010 00100 1 10010 1010 10100,7,0
model1,11,smc,5,000 00100 010 1 10100,5,0
model1,11,smc,6,000 010 0100 1,4,0
model1,11,smc,7,00 010 1,3,0
model1,11,smc,8,0 1,2,0
model1,12,smc,0,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,0
model1,12,smc,1,0000 000010 000100 1 1000 100010 10010 100100 1010 10100,10,0
model1,12,smc,2,0000 00010 000100 1 1000 10010 100100 1010 10100,9,0
model1,12,smc,3,000 00010 000100 1 10010 100100 1010 10100,8,0
model1,12,smc,4,000 00010 00100 1 10010 1010 10100,7,0
model1,12,smc,5,000 00010 0100 1 10010 1010,6,0
model1,12,smc,6,000 0010 0100 1 1010,5,0
model1,12,smc,7,000 010 0100 1,4,0
model1,12,smc,8,00 010 1,3,0
model1,12,smc,9,0 1,2,0
model1,13,smc,0,00000 000010 000100 1 1000 10000 100010 10010 100100 1010 10100,11,0
model1,13,smc,1,00000 000100 0010 1 1000 10000 100100 1010 10100,9,0
model1,13,smc,2,00000 0010 0100 1 1000 10000 1010,7,0
model1,13,smc,3,0000 0010 0100 1 1000 1010,6,0
model1,13,smc,4,0000 010 0100 1 1000,5,0
model1,13,smc,5,000 010 0100 1,4,0
model1,13,smc,6,00 010 1,3,0
model1,13,smc,7,0 1,2,0
model1,14,smc,0,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,0
model1,14,smc,1,00000 000010 000100 1 1000 10000 100010 10010 100100 1010 10100,11,0
model1,14,smc,2,00000 000100 010 1 1000 10000 100100 10100,8,0
